city,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,timestamp,unix,temperature,humidity,wind_speed,hour,weekday,month
Istanbul,2,134.25,0.07,4.74,97.04,4.03,6.33,7.61,3.69,2025-05-11 17:00:00+00:00,1746982800,13.72,45,6.4,17,6,5
Istanbul,2,140.05,0.0,6.37,89.06,4.09,7.48,9.01,4.08,2025-05-11 18:00:00+00:00,1746986400,13.72,45,6.4,18,6,5
Istanbul,2,142.44,0.0,7.17,76.78,3.25,8.17,9.91,4.4,2025-05-11 19:00:00+00:00,1746990000,13.72,45,6.4,19,6,5
Istanbul,2,144.57,0.0,7.63,63.95,2.42,8.91,10.88,5.85,2025-05-11 20:00:00+00:00,1746993600,13.72,45,6.4,20,6,5
Istanbul,1,144.98,0.0,7.74,55.96,2.17,9.98,12.14,8.52,2025-05-11 21:00:00+00:00,1746997200,13.72,45,6.4,21,6,5
Istanbul,2,144.06,0.0,7.55,52.03,2.35,11.28,13.6,12.6,2025-05-11 22:00:00+00:00,1747000800,13.72,45,6.4,22,6,5
Istanbul,2,143.16,0.0,7.3,49.81,2.63,12.58,15.02,16.03,2025-05-11 23:00:00+00:00,1747004400,13.72,45,6.4,23,6,5
Istanbul,2,142.09,0.0,7.22,48.01,2.98,13.69,16.22,18.86,2025-05-12 00:00:00+00:00,1747008000,13.72,45,6.4,0,0,5
Istanbul,2,141.47,0.0,7.29,47.07,3.38,14.85,17.46,21.32,2025-05-12 01:00:00+00:00,1747011600,13.72,45,6.4,1,0,5
Istanbul,2,141.48,0.0,7.38,45.92,3.59,16.02,18.71,23.52,2025-05-12 02:00:00+00:00,1747015200,13.72,45,6.4,2,0,5
Istanbul,2,141.68,0.0,7.5,43.82,3.59,16.96,19.75,24.86,2025-05-12 03:00:00+00:00,1747018800,13.72,45,6.4,3,0,5
Istanbul,2,142.45,0.05,8.2,40.2,3.39,17.44,20.35,23.28,2025-05-12 04:00:00+00:00,1747022400,13.72,45,6.4,4,0,5
